entrez	symbol	pubmed_id	type	primary_site	cancer_type	method
92	ACVR2A	28622513	WES	hepatobiliary	hepatocellular_carcinoma	"MutSig, Recurrence-based"
92	ACVR2A	25362482	WES	hepatobiliary	hepatocellular_carcinoma	MutSig
92	ACVR2A	22037554	WES	stomach	gastric_adenocarcinoma	Wood-based
92	ACVR2A	24816253	WGS	stomach	gastric_adenocarcinoma	Youn-based
92	ACVR2A	26806338	"WES-gene panel"	small_intestine	ampullary_adenocarcinoma	Recurrence-based
93	ACVR2B	24390350	WES	multiple	pan-cancer_adult	MutSig
102	ADAM10	22343534	WES	blood	diffuse_large_B-cell_lymphoma	MutSig
107	ADCY1	22941189	WES	lung	small_cell_lung_cancer	Wood-based
114	ADCY8	21798893	WES	head_and_neck	squamous_head_and_neck_cancer	MutSig
119	ADD2	27149842	WES	colorectal	colorectal_adenocarcinoma	MutSig
120	ADD3	29489755	WGS-WES-RNAseq	multiple	pan-cancer_paediatric	"GRIN, MutSig"
125	ADH1B	25362482	WES	hepatobiliary	hepatocellular_carcinoma	MutSig
143	PARP4	26451490	WES	breast	breast_cancer	MutSig
148	ADRA1A	27064257	WGS	hepatobiliary	pan-liver	Paper-specific
173	AFM	24120142	WES	brain	glioblastoma	"InVEx, MutSig"
176	ACAN	26824661	WGS-WES	brain	pan-glioma	MutSig
182	JAG1	25730765	WGS	blood	acute_lymphocytic_leukemia	Recurrence-based
182	JAG1	26909576	WGS	pancreas	pancreatic_cancer_(all_histologies)	"HOTNET2, OncodriveFM, MutSig"
182	JAG1	25501392	WES	multiple	pan-cancer_adult	HOTNET2
186	AGTR2	27161491	"Gene panel"	breast	breast_cancer	Recurrence-based
187	APLNR	20668451	"Gene panel"	lung	lung_cancer_(all_histologies)	Wood-based
207	AKT1	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
207	AKT1	22722202	WES	breast	breast_cancer	MutSig
207	AKT1	22610119	WES	prostate	prostate_cancer	MutSig
207	AKT1	24633157	"WGS-WES-Gene panel"	soft_tissue	angiosarcoma	Greenman-based
207	AKT1	23000897	WES	breast	breast_cancer	MuSiC
207	AKT1	26451490	WES	breast	breast_cancer	MutSig
207	AKT1	23348505	WES	brain	meningioma	Recurrence-based
207	AKT1	14993899	"Known Cancer"	multiple	-	-
207	AKT1	27348297	WES	uterus	endometrial_cancer	MutSig
207	AKT1	20668451	"Gene panel"	breast	breast_cancer	Wood-based
207	AKT1	24132290	WES	multiple	pan-cancer_adult	MuSiC
207	AKT1	24390350	WES	multiple	pan-cancer_adult	MutSig
207	AKT1	28027327	WES	breast	breast_cancer	MutSig
207	AKT1	29489755	WGS-WES-RNAseq	multiple	pan-cancer_paediatric	"GRIN, MutSig"
207	AKT1	27135926	WGS	breast	breast_cancer	Paper-specific
207	AKT1	27161491	"Gene panel"	breast	breast_cancer	Recurrence-based
207	AKT1	26000489	WES	prostate	prostate_cancer	MutSig
207	AKT1	22722201	WES	breast	breast_cancer	Greenman-based
207	AKT1	26544944	WGS-WES	prostate	prostate_cancer	MutSig
207	AKT1	28452984	WES	blood	chronic_myeloid_leukemia	"Recurrence-based, Literature-based"
207	AKT1	23539594	"Known Cancer"	multiple	-	-
207	AKT1	26939876	"Gene panel"	breast	triple_negative_breast_cancer	"Recurrence-based, Paper-specific"
207	AKT1	26099045	WGS	breast	breast_cancer	"Recurrence-based, Literature-based"
208	AKT2	14993899	"Known Cancer"	multiple	-	-
208	AKT2	23619167	WES	head_and_neck	squamous_head_and_neck_cancer	Paper-specific
208	AKT2	27135926	WGS	breast	breast_cancer	Paper-specific
208	AKT2	22722201	WES	breast	breast_cancer	Greenman-based
208	AKT2	26099045	WGS	breast	breast_cancer	"Recurrence-based, Literature-based"
213	ALB	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
213	ALB	28297679	WES	hepatobiliary	cholangiocarcinoma	MutSig
213	ALB	22634756	WGS	hepatobiliary	hepatocellular_carcinoma	Paper-specific
213	ALB	27064257	WGS	hepatobiliary	pan-liver	Paper-specific
213	ALB	25822088	WES	hepatobiliary	hepatocellular_carcinoma	MutSig
213	ALB	28622513	WES	hepatobiliary	hepatocellular_carcinoma	"MutSig, Recurrence-based"
215	ABCD1	26824661	WGS-WES	brain	pan-glioma	MutSig
217	ALDH2	14993899	"Known Cancer"	multiple	-	-
238	ALK	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
238	ALK	26121087	WGS	brain	neuroblastoma	Paper-specific
238	ALK	14993899	"Known Cancer"	multiple	-	-
238	ALK	29489754	WGS-WES	multiple	pan-cancer_paediatric	MuSiC
238	ALK	27009842	WES	peripheral_nervous_system	neuroblastoma	Paper-specific
238	ALK	24390350	WES	multiple	pan-cancer_adult	MutSig
238	ALK	29489755	WGS-WES-RNAseq	multiple	pan-cancer_paediatric	"GRIN, MutSig"
238	ALK	24974848	WES	thymus	thymic_carcinoma	Recurrence-based
238	ALK	23334666	WES	brain	neuroblastoma	MutSig
238	ALK	23202128	WES	brain	neuroblastoma	Recurrence-based
238	ALK	23539594	"Known Cancer"	multiple	-	-
238	ALK	26939876	"Gene panel"	breast	triple_negative_breast_cancer	"Recurrence-based, Paper-specific"
238	ALK	24755198	"WES-gene panel"	skin	melanoma	Recurrence-based
239	ALOX12	21430775	WGS-WES	blood	multiple_myeloma	MutSig
273	AMPH	22922871	WES	hepatobiliary	hepatocellular_carcinoma	Paper-specific
280	AMY2B	23636398	WES	uterus	endometrial_cancer	MuSiC
284	ANGPT1	21499247	WES	skin	melanoma	Paper-specific
286	ANK1	14993899	"Known Cancer"	multiple	-	-
287	ANK2	21822268	WES	bladder	bladder_cancer	"Wood-based, Recurrence-based"
287	ANK2	24121792	WES	bladder	bladder_cancer	Wood-based
287	ANK2	26625313	WES	bladder	bladder_cancer	MutSig
288	ANK3	21822268	WES	bladder	bladder_cancer	"Wood-based, Recurrence-based"
288	ANK3	24121792	WES	bladder	bladder_cancer	Wood-based
288	ANK3	24390350	WES	multiple	pan-cancer_adult	MutSig
288	ANK3	26121086	WES	brain	neuroblastoma	Recurrence-based
288	ANK3	26625313	WES	bladder	bladder_cancer	MutSig
290	ANPEP	25351205	WGS-WES	kidney	clear_cell_renal_cancer	MuSiC
316	AOX1	26824661	WGS-WES	brain	pan-glioma	MutSig
324	APC	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
324	APC	22610119	WES	prostate	prostate_cancer	MutSig
324	APC	21892161	WGS	colorectal	colorectal_adenocarcinoma	MutSig
324	APC	27158780	WES	lung	lung_cancer_(all_histologies)	MutSig
324	APC	22810696	WES	colorectal	colorectal_adenocarcinoma	MutSig
324	APC	25079317	WES	stomach	gastric_adenocarcinoma	MutSig
324	APC	24700472	WES	adrenal_gland	adrenocortical_adenoma	"MutSig, Recurrence-based"
324	APC	18948947	"Gene panel"	lung	lung_adenocarcinoma	MuSiC
324	APC	28297679	WES	hepatobiliary	cholangiocarcinoma	MutSig
324	APC	14993899	"Known Cancer"	multiple	-	-
324	APC	27149842	WES	colorectal	colorectal_adenocarcinoma	MutSig
324	APC	26804919	WES	small_intestine	ampullary_adenocarcinoma	MutSig
324	APC	22722839	WES	prostate	prostate_cancer	Paper-specific
324	APC	24132290	WES	multiple	pan-cancer_adult	MuSiC
324	APC	24390350	WES	multiple	pan-cancer_adult	MutSig
324	APC	22327622	"Gene panel"	colorectal	colorectal_adenocarcinoma	Recurrence-based
324	APC	27135926	WGS	breast	breast_cancer	Paper-specific
324	APC	26000489	WES	prostate	prostate_cancer	MutSig
324	APC	22895193	WES	colorectal	colorectal_adenocarcinoma	Wood-based
324	APC	22722201	WES	breast	breast_cancer	Greenman-based
324	APC	28551381	"WES-gene panel"	colorectal	colorectal_adenocarcinoma	Recurrence-based
324	APC	23539594	"Known Cancer"	multiple	-	-
324	APC	26939876	"Gene panel"	breast	triple_negative_breast_cancer	"Recurrence-based, Paper-specific"
324	APC	26806338	"WES-gene panel"	small_intestine	ampullary_adenocarcinoma	Recurrence-based
324	APC	26099045	WGS	breast	breast_cancer	"Recurrence-based, Literature-based"
324	APC	26998897	WES	small_intestine	duodenal_adenocarcinoma	MutSig
330	BIRC3	14993899	"Known Cancer"	multiple	-	-
330	BIRC3	26466571	WES	blood	chronic_lymphocytic_leukemia	MutSig
338	APOB	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
338	APOB	27064257	WGS	hepatobiliary	pan-liver	Paper-specific
338	APOB	26121086	WES	brain	neuroblastoma	Recurrence-based
338	APOB	28622513	WES	hepatobiliary	hepatocellular_carcinoma	"MutSig, Recurrence-based"
338	APOB	22484628	WES	stomach	gastric_adenocarcinoma	Recurrence-based
355	FAS	26192916	WGS-WES	blood	cutaneous_T_cell_lymphoma	MuSiC
355	FAS	14993899	"Known Cancer"	multiple	-	-
355	FAS	26437031	"WGS-WES-Gene panel"	blood	T-cell_leukemia/lymphoma	MutSig
355	FAS	21796119	WES	blood	non-Hodgkin_lymphoma	Greenman-based
355	FAS	26939876	"Gene panel"	breast	triple_negative_breast_cancer	"Recurrence-based, Paper-specific"
367	AR	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
367	AR	22981675	"Gene panel"	prostate	prostate_cancer	Recurrence-based
367	AR	14993899	"Known Cancer"	multiple	-	-
367	AR	22722839	WES	prostate	prostate_cancer	Paper-specific
367	AR	24132290	WES	multiple	pan-cancer_adult	MuSiC
367	AR	26000489	WES	prostate	prostate_cancer	MutSig
367	AR	23539594	"Known Cancer"	multiple	-	-
369	ARAF	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
369	ARAF	28297679	WES	hepatobiliary	cholangiocarcinoma	MutSig
369	ARAF	14993899	"Known Cancer"	multiple	-	-
373	TRIM23	24390350	WES	multiple	pan-cancer_adult	MutSig
374	AREG	25501392	WES	multiple	pan-cancer_adult	HOTNET2
387	RHOA	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
387	RHOA	24476821	WES	bladder	bladder_cancer	MutSig
387	RHOA	25079317	WES	stomach	gastric_adenocarcinoma	MutSig
387	RHOA	28522256	WES	stomach	diffuse_gastric_adenocarcinoma	MutSig
387	RHOA	26192916	WGS-WES	blood	cutaneous_T_cell_lymphoma	MuSiC
387	RHOA	14993899	"Known Cancer"	multiple	-	-
387	RHOA	29489754	WGS-WES	multiple	pan-cancer_paediatric	MuSiC
387	RHOA	24816255	WES	stomach	diffuse_gastric_adenocarcinoma	Recurrence-based
387	RHOA	26437031	"WGS-WES-Gene panel"	blood	T-cell_leukemia/lymphoma	MutSig
387	RHOA	24390350	WES	multiple	pan-cancer_adult	MutSig
387	RHOA	26574607	WGS	blood	T-cell_leukemia/lymphoma	Recurrence-based
387	RHOA	27135926	WGS	breast	breast_cancer	Paper-specific
387	RHOA	24413734	WES	blood	peripheral_T-cell_lymphoma	Recurrence-based
387	RHOA	23143595	WGS-WES	blood	Burkitt&#39;s_lymphoma	Recurrence-based
387	RHOA	28988769	WES	bladder	bladder_cancer	MutSig
387	RHOA	24413737	WES	blood	angioimmunoblastic_T-cell_lymphoma	Recurrence-based
387	RHOA	24816253	WGS	stomach	gastric_adenocarcinoma	Youn-based
387	RHOA	24584070	WES	blood	angioimmunoblastic_T-cell_lymphoma	Recurrence-based
388	RHOB	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
388	RHOB	24476821	WES	bladder	bladder_cancer	MutSig
388	RHOB	28988769	WES	bladder	bladder_cancer	MutSig
393	ARHGAP4	25501392	WES	multiple	pan-cancer_adult	HOTNET2
394	ARHGAP5	14993899	"Known Cancer"	multiple	-	-
399	RHOH	14993899	"Known Cancer"	multiple	-	-
405	ARNT	14993899	"Known Cancer"	multiple	-	-
414	ARSD	28249600	WES	blood	acute_myeloid_leukemia	MutSig
414	ARSD	28479318	"WES-gene panel"	blood	cutaneous_DLBCL	MuSiC
435	ASL	22156295	WES	pancreas	pancreatic_ductal_adenocarcinoma	Recurrence-based
460	ASTN1	18772396	WES	brain	glioblastoma	Wood-based
460	ASTN1	27058444	WGS-WES	esophagus	esophageal_squamous_carcinoma	MutSig
463	ZFHX3	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
463	ZFHX3	23636398	WES	uterus	endometrial_cancer	MuSiC
463	ZFHX3	14993899	"Known Cancer"	multiple	-	-
463	ZFHX3	27348297	WES	uterus	endometrial_cancer	MutSig
463	ZFHX3	22722839	WES	prostate	prostate_cancer	Paper-specific
463	ZFHX3	21822268	WES	bladder	bladder_cancer	"Wood-based, Recurrence-based"
463	ZFHX3	24390350	WES	multiple	pan-cancer_adult	MutSig
463	ZFHX3	26503331	"WES-gene panel"	lung	lung_squamous_cell_carcinoma	MutSig
463	ZFHX3	26000489	WES	prostate	prostate_cancer	MutSig
466	ATF1	14993899	"Known Cancer"	multiple	-	-
471	ATIC	14993899	"Known Cancer"	multiple	-	-
472	ATM	26909576	WGS	pancreas	pancreatic_cancer_(all_histologies)	"HOTNET2, OncodriveFM, MutSig"
472	ATM	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
472	ATM	24121791	WES	bladder	bladder_cancer	Recurrence-based
472	ATM	22610119	WES	prostate	prostate_cancer	MutSig
472	ATM	22981675	"Gene panel"	prostate	prostate_cancer	Recurrence-based
472	ATM	23103869	WES	pancreas	pancreatic_ductal_adenocarcinoma	MuSiC
472	ATM	27158780	WES	lung	lung_cancer_(all_histologies)	MutSig
472	ATM	28256603	"WES plus targeted deep resequencing"	head_and_neck	nasopharyngeal_carcinoma	"Literature-based, Paper-specific"
472	ATM	18948947	"Gene panel"	lung	lung_adenocarcinoma	MuSiC
472	ATM	28297679	WES	hepatobiliary	cholangiocarcinoma	MutSig
472	ATM	22634756	WGS	hepatobiliary	hepatocellular_carcinoma	Paper-specific
472	ATM	14993899	"Known Cancer"	multiple	-	-
472	ATM	24487277	WES	kidney	clear_cell_renal_cancer	Literature-based
472	ATM	26804919	WES	small_intestine	ampullary_adenocarcinoma	MutSig
472	ATM	24121792	WES	bladder	bladder_cancer	Wood-based
472	ATM	22980975	WES	lung	lung_adenocarcinoma	InVEx
472	ATM	27687306	WES	lung	lung_adenocarcinoma	InVEx
472	ATM	24132290	WES	multiple	pan-cancer_adult	MuSiC
472	ATM	26632267	"WES-gene panel"	bone	osteosarcoma	"Recurrence-based, IntOGen"
472	ATM	23415222	WES	blood	chronic_lymphocytic_leukemia	MutSig
472	ATM	26466571	WES	blood	chronic_lymphocytic_leukemia	MutSig
472	ATM	24390350	WES	multiple	pan-cancer_adult	MutSig
472	ATM	25501392	WES	multiple	pan-cancer_adult	HOTNET2
472	ATM	22327622	"Gene panel"	colorectal	colorectal_adenocarcinoma	Recurrence-based
472	ATM	22327622	"Gene panel"	lung	non-small_cell_lung_cancer	Recurrence-based
472	ATM	27135926	WGS	breast	breast_cancer	Paper-specific
472	ATM	24413734	WES	blood	peripheral_T-cell_lymphoma	Recurrence-based
472	ATM	22158541	WES	blood	chronic_lymphocytic_leukemia	Recurrence-based
472	ATM	28988769	WES	bladder	bladder_cancer	MutSig
472	ATM	26000489	WES	prostate	prostate_cancer	MutSig
472	ATM	22895193	WES	colorectal	colorectal_adenocarcinoma	Wood-based
472	ATM	26544944	WGS-WES	prostate	prostate_cancer	MutSig
472	ATM	28810144	"WES plus targeted deep resequencing"	pancreas	pancreatic_ductal_adenocarcinoma	MutSig
472	ATM	23539594	"Known Cancer"	multiple	-	-
472	ATM	22150006	WGS-WES	blood	chronic_lymphocytic_leukemia	MutSig
472	ATM	26939876	"Gene panel"	breast	triple_negative_breast_cancer	"Recurrence-based, Paper-specific"
476	ATP1A1	14993899	"Known Cancer"	multiple	-	-
488	ATP2A2	21399634	WES	blood	acute_monocytic_leukemia	Recurrence-based
492	ATP2B3	14993899	"Known Cancer"	multiple	-	-
495	ATP4A	22484628	WES	stomach	gastric_adenocarcinoma	Recurrence-based
506	ATP5F1B	24390350	WES	multiple	pan-cancer_adult	MutSig
526	ATP6V1B2	28064239	WES	blood	follicular_lymphoma	MuSiC
545	ATR	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
545	ATR	23636398	WES	uterus	endometrial_cancer	MuSiC
545	ATR	14993899	"Known Cancer"	multiple	-	-
545	ATR	24132290	WES	multiple	pan-cancer_adult	MuSiC
545	ATR	27135926	WGS	breast	breast_cancer	Paper-specific
545	ATR	26099045	WGS	breast	breast_cancer	"Recurrence-based, Literature-based"
546	ATRX	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
546	ATRX	24120142	WES	brain	glioblastoma	"InVEx, MutSig"
546	ATRX	26061751	WES	brain	low_grade_glioma	MutSig
546	ATRX	26824661	WGS-WES	brain	pan-glioma	MutSig
546	ATRX	24705250	WES	brain	astrocytoma	Recurrence-based
546	ATRX	14993899	"Known Cancer"	multiple	-	-
546	ATRX	29489754	WGS-WES	multiple	pan-cancer_paediatric	MuSiC
546	ATRX	21252315	WES	pancreas	pancreatic_neuroendocrine_tumours	Recurrence-based
546	ATRX	24336570	WES	brain	low_grade_glioma	Recurrence-based
546	ATRX	24132290	WES	multiple	pan-cancer_adult	MuSiC
546	ATRX	26632267	"WES-gene panel"	bone	osteosarcoma	"Recurrence-based, IntOGen"
546	ATRX	27009842	WES	peripheral_nervous_system	neuroblastoma	Paper-specific
546	ATRX	29489755	WGS-WES-RNAseq	multiple	pan-cancer_paediatric	"GRIN, MutSig"
546	ATRX	27135926	WGS	breast	breast_cancer	Paper-specific
546	ATRX	25743702	WGS-WES	adrenal_gland	adrenocortical_carcinoma	Recurrence-based
546	ATRX	23334666	WES	brain	neuroblastoma	MutSig
546	ATRX	22286061	WES	brain	glioblastoma	Recurrence-based
546	ATRX	29100075	WGS-WES	soft_tissue	soft_tissue_sarcoma	MuSiC
546	ATRX	23539594	"Known Cancer"	multiple	-	-
546	ATRX	27270107	WES	brain	glioblastoma	MutComFocal
546	ATRX	24705251	WGS-WES	brain	paediatric_high-grade_glioma	Recurrence-based
546	ATRX	23583981	WGS-WES	brain	paediatric_low_grade_glioma	"MuSiC, Paper-specific"
546	ATRX	24880341	WES	brain	glioma	Recurrence-based
546	ATRX	25301631	WES	lung	lung_adenocarcinoma	Literature-based
547	KIF1A	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
563	AZGP1	24390350	WES	multiple	pan-cancer_adult	MutSig
567	B2M	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
567	B2M	26091043	WES	skin	melanoma	"InVEx, MutSig"
567	B2M	14993899	"Known Cancer"	multiple	-	-
567	B2M	26437031	"WGS-WES-Gene panel"	blood	T-cell_leukemia/lymphoma	MutSig
567	B2M	24390350	WES	multiple	pan-cancer_adult	MutSig
567	B2M	25501392	WES	multiple	pan-cancer_adult	HOTNET2
567	B2M	22343534	WES	blood	diffuse_large_B-cell_lymphoma	MutSig
567	B2M	21796119	WES	blood	non-Hodgkin_lymphoma	Greenman-based
567	B2M	24413734	WES	blood	peripheral_T-cell_lymphoma	Recurrence-based
567	B2M	21804550	WES	blood	diffuse_large_B-cell_lymphoma	Paper-specific
567	B2M	23539594	"Known Cancer"	multiple	-	-
577	ADGRB3	18772397	WES	pancreas	pancreatic_ductal_adenocarcinoma	Wood-based
577	ADGRB3	20668451	"Gene panel"	lung	lung_cancer_(all_histologies)	Wood-based
577	ADGRB3	22484628	WES	stomach	gastric_adenocarcinoma	Recurrence-based
577	ADGRB3	23583981	WGS-WES	brain	paediatric_low_grade_glioma	"MuSiC, Paper-specific"
580	BARD1	14993899	"Known Cancer"	multiple	-	-
581	BAX	14993899	"Known Cancer"	multiple	-	-
595	CCND1	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
595	CCND1	23636398	WES	uterus	endometrial_cancer	MuSiC
595	CCND1	21430775	WGS-WES	blood	multiple_myeloma	MutSig
595	CCND1	28297679	WES	hepatobiliary	cholangiocarcinoma	MutSig
595	CCND1	27064257	WGS	hepatobiliary	pan-liver	Paper-specific
595	CCND1	14993899	"Known Cancer"	multiple	-	-
595	CCND1	27348297	WES	uterus	endometrial_cancer	MutSig
595	CCND1	24132290	WES	multiple	pan-cancer_adult	MuSiC
595	CCND1	24390350	WES	multiple	pan-cancer_adult	MutSig
595	CCND1	25501392	WES	multiple	pan-cancer_adult	HOTNET2
595	CCND1	28098136	WGS-WES	head_and_neck	nasopharyngeal_carcinoma	MutSig
595	CCND1	26258846	WES	hepatobiliary	biliary_tract_cancer	MutSig
595	CCND1	27135926	WGS	breast	breast_cancer	Paper-specific
595	CCND1	28352668	"WES-gene panel"	parathyroid_gland	parathyroid_carcinoma	"Recurrence-based, Literature-based"
595	CCND1	26000489	WES	prostate	prostate_cancer	MutSig
595	CCND1	25362482	WES	hepatobiliary	hepatocellular_carcinoma	MutSig
595	CCND1	24705251	WGS-WES	brain	paediatric_high-grade_glioma	Recurrence-based
595	CCND1	26099045	WGS	breast	breast_cancer	"Recurrence-based, Literature-based"
596	BCL2	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
596	BCL2	14993899	"Known Cancer"	multiple	-	-
596	BCL2	28064239	WES	blood	follicular_lymphoma	MuSiC
596	BCL2	21796119	WES	blood	non-Hodgkin_lymphoma	Greenman-based
596	BCL2	21804550	WES	blood	diffuse_large_B-cell_lymphoma	Paper-specific
596	BCL2	23539594	"Known Cancer"	multiple	-	-
602	BCL3	28297679	WES	hepatobiliary	cholangiocarcinoma	MutSig
602	BCL3	14993899	"Known Cancer"	multiple	-	-
604	BCL6	14993899	"Known Cancer"	multiple	-	-
604	BCL6	21796119	WES	blood	non-Hodgkin_lymphoma	Greenman-based
605	BCL7A	14993899	"Known Cancer"	multiple	-	-
605	BCL7A	28064239	WES	blood	follicular_lymphoma	MuSiC
607	BCL9	14993899	"Known Cancer"	multiple	-	-
608	TNFRSF17	14993899	"Known Cancer"	multiple	-	-
613	BCR	14993899	"Known Cancer"	multiple	-	-
613	BCR	29489754	WGS-WES	multiple	pan-cancer_paediatric	MuSiC
613	BCR	22343534	WES	blood	diffuse_large_B-cell_lymphoma	MutSig
613	BCR	26648538	"WGS-Gene panel"	blood	chronic_myelomonocytic_leukemia	Recurrence-based
639	PRDM1	14993899	"Known Cancer"	multiple	-	-
639	PRDM1	24390350	WES	multiple	pan-cancer_adult	MutSig
639	PRDM1	27135926	WGS	breast	breast_cancer	Paper-specific
639	PRDM1	21804550	WES	blood	diffuse_large_B-cell_lymphoma	Paper-specific
639	PRDM1	23539594	"Known Cancer"	multiple	-	-
641	BLM	14993899	"Known Cancer"	multiple	-	-
653	BMP5	14993899	"Known Cancer"	multiple	-	-
657	BMPR1A	14993899	"Known Cancer"	multiple	-	-
666	BOK	26998897	WES	small_intestine	duodenal_adenocarcinoma	MutSig
667	DST	20399149	"Gene panel"	brain	glioblastoma	Paper-specific
668	FOXL2	14993899	"Known Cancer"	multiple	-	-
668	FOXL2	23539594	"Known Cancer"	multiple	-	-
672	BRCA1	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
672	BRCA1	21720365	WES	ovary	ovarian_cancer	"MutSig, MuSiC"
672	BRCA1	27087322	WGS	prostate	prostate_cancer	Recurrence-based
672	BRCA1	27325650	WES	penis	penile_squamous_cancer	"IntOGen, Literature-based"
672	BRCA1	14993899	"Known Cancer"	multiple	-	-
672	BRCA1	28296713	WES	skin	mucosal_melanoma	Recurrence-based
672	BRCA1	24132290	WES	multiple	pan-cancer_adult	MuSiC
672	BRCA1	24390350	WES	multiple	pan-cancer_adult	MutSig
672	BRCA1	27135926	WGS	breast	breast_cancer	Paper-specific
672	BRCA1	26017449	WGS	ovary	ovarian_serous_carcinoma	"MutSig, IntOGen"
672	BRCA1	27161491	"Gene panel"	breast	breast_cancer	Recurrence-based
672	BRCA1	26000489	WES	prostate	prostate_cancer	MutSig
672	BRCA1	22722201	WES	breast	breast_cancer	Greenman-based
672	BRCA1	23539594	"Known Cancer"	multiple	-	-
672	BRCA1	26099045	WGS	breast	breast_cancer	"Recurrence-based, Literature-based"
672	BRCA1	25301631	WES	lung	lung_adenocarcinoma	Literature-based
673	BRAF	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
673	BRAF	22622578	WGS	skin	melanoma	MutSig
673	BRAF	24413733	WES	brain	craniopharyngioma	MutSig
673	BRAF	27158780	WES	lung	lung_cancer_(all_histologies)	MutSig
673	BRAF	22810696	WES	colorectal	colorectal_adenocarcinoma	MutSig
673	BRAF	24120142	WES	brain	glioblastoma	"InVEx, MutSig"
673	BRAF	25417114	WES	thyroid	papillary_thyroid_cancer	MutSig
673	BRAF	25079552	WES	lung	lung_adenocarcinoma	MutSig
673	BRAF	26091043	WES	skin	melanoma	"InVEx, MutSig"
673	BRAF	26824661	WGS-WES	brain	pan-glioma	MutSig
673	BRAF	26192916	WGS-WES	blood	cutaneous_T_cell_lymphoma	MuSiC
673	BRAF	28297679	WES	hepatobiliary	cholangiocarcinoma	MutSig
673	BRAF	14993899	"Known Cancer"	multiple	-	-
673	BRAF	27149842	WES	colorectal	colorectal_adenocarcinoma	MutSig
673	BRAF	29489754	WGS-WES	multiple	pan-cancer_paediatric	MuSiC
